WORK_RECOMMENDATION_DTL_ID,MP_NAME,IDA_NAME,WORK_CATEGORY,WORK_DESCRIPTION,VENDOR_NAME,RECIPIENT_TYPE,RECOMMENDATION_DATE,SANCTION_DATE,ACTUAL_END_DATE,SANCTION_AMOUNT,FUND_DISBURSED_AMT,IS_SC_AREA,IS_ST_AREA,IS_TRIBAL_TRUST,FY,days_to_sanction,days_to_complete,days_since_recommendation,is_completed_flag
100000,MP_7,District_4,School Infrastructure,Standard public infrastructure work,Vendor_15,Government Agency,2024-06-27,2024-08-14,2025-02-11,987437.95,987437.95,True,True,False,2024-25,48,181,339,True
100001,MP_5,District_4,Community Hall,Standard public infrastructure work,Vendor_2,Government Agency,2025-01-02,2025-02-04,2025-11-26,982763.58,982763.58,False,True,False,2024-25,33,295,150,True
100002,MP_1,District_4,Road Construction,Standard public infrastructure work,Vendor_12,Government Agency,2024-09-22,2024-11-12,2025-08-18,1203999.93,1203999.93,False,False,False,2024-25,51,279,252,True
100003,MP_3,District_4,Street Lighting,Standard public infrastructure work,Vendor_3,Government Agency,2024-12-30,2025-02-14,2025-06-04,233957.77,233957.77,False,False,False,2024-25,46,110,153,True
100004,MP_4,District_1,Street Lighting,Standard public infrastructure work,Vendor_14,Government Agency,2024-12-20,2024-12-31,2025-05-23,227490.48,227490.48,False,False,False,2024-25,11,143,163,True
100005,MP_3,District_1,Street Lighting,Standard public infrastructure work,Vendor_18,Government Agency,2024-07-15,2024-09-02,2025-03-12,285528.99,285528.99,False,False,False,2024-25,49,191,321,True
100006,MP_4,District_5,Road Construction,Standard public infrastructure work,Vendor_12,Government Agency,2025-01-21,2025-02-07,2025-10-30,1332923.98,1332923.98,True,True,False,2024-25,17,265,131,True
100007,MP_5,District_5,Road Construction,Standard public infrastructure work,Vendor_15,Government Agency,2024-05-11,2024-06-13,2025-01-12,1230846.29,1230846.29,False,False,False,2024-25,33,213,386,True
100008,MP_1,District_1,Drinking Water,Standard public infrastructure work,Vendor_1,Government Agency,2024-11-17,2024-12-31,2025-08-10,326195.53,326195.53,False,True,False,2024-25,44,222,196,True
100009,MP_10,District_1,Street Lighting,Standard public infrastructure work,Vendor_7,Government Agency,2024-06-01,2024-06-19,2024-10-28,283290.57,283290.57,False,True,False,2024-25,18,131,365,True
100010,MP_8,District_5,Community Hall,Standard public infrastructure work,Vendor_12,Government Agency,2024-12-13,2024-12-23,2025-10-05,900175.45,900175.45,True,False,False,2024-25,10,286,170,True
100011,MP_5,District_2,Community Hall,Standard public infrastructure work,Vendor_9,Government Agency,2024-09-26,2024-10-20,2025-01-02,835587.37,835587.37,True,False,False,2024-25,24,74,248,True
100012,MP_7,District_1,Street Lighting,Standard public infrastructure work,Vendor_4,Government Agency,2024-09-07,2024-10-31,2025-05-21,241762.3,241762.3,False,False,False,2024-25,54,202,267,True
100013,MP_7,District_3,Community Hall,Standard public infrastructure work,Vendor_2,Government Agency,2025-01-09,2025-03-01,2025-06-13,842853.51,842853.51,False,False,False,2024-25,51,104,143,True
100014,MP_4,District_3,Road Construction,Standard public infrastructure work,Vendor_7,Government Agency,2024-12-15,2025-01-20,2025-09-26,1153526.74,1153526.74,True,False,False,2024-25,36,249,168,True
100015,MP_7,District_3,Drinking Water,Standard public infrastructure work,Vendor_5,Government Agency,2024-09-07,2024-10-19,2025-02-06,320743.0,320743.0,False,False,False,2024-25,42,110,267,True
100016,MP_8,District_1,Street Lighting,Standard public infrastructure work,Vendor_17,Government Agency,2024-07-22,2024-08-12,2024-11-18,249419.37,249419.37,False,False,False,2024-25,21,98,314,True
100017,MP_8,District_1,Community Hall,Standard public infrastructure work,Vendor_17,Government Agency,2024-11-10,2024-11-21,2025-05-29,796714.83,796714.83,False,True,False,2024-25,11,189,203,True
100018,MP_1,District_1,Community Hall,Standard public infrastructure work,Vendor_2,Government Agency,2024-10-01,2024-10-16,2025-05-23,500148.9,500148.9,False,True,False,2024-25,15,219,243,True
100019,MP_1,District_5,Street Lighting,Standard public infrastructure work,Vendor_2,Government Agency,2024-07-06,2024-07-21,2025-04-20,305512.32,305512.32,False,True,False,2024-25,15,273,330,True
100020,MP_9,District_4,Community Hall,Standard public infrastructure work,Vendor_6,Government Agency,2024-08-26,2024-10-10,2025-05-04,894760.74,894760.74,False,False,False,2024-25,45,206,279,True
100021,MP_7,District_4,Drinking Water,Standard public infrastructure work,Vendor_1,Government Agency,2024-12-23,2025-02-10,2025-08-16,319417.03,319417.03,False,False,False,2024-25,49,187,160,True
100022,MP_9,District_1,Road Construction,Standard public infrastructure work,Vendor_10,Government Agency,2024-04-02,2024-05-07,2024-10-25,1346433.1,1346433.1,False,False,False,2024-25,35,171,425,True
100023,MP_1,District_4,School Infrastructure,Standard public infrastructure work,Vendor_5,Government Agency,2024-10-25,2024-12-05,2025-02-11,733833.32,733833.32,False,False,False,2024-25,41,68,219,True
100024,MP_3,District_4,Drinking Water,Standard public infrastructure work,Vendor_20,Government Agency,2024-10-11,2024-11-24,2025-05-14,310182.97,310182.97,True,False,False,2024-25,44,171,233,True
100025,MP_6,District_3,School Infrastructure,Standard public infrastructure work,Vendor_9,Government Agency,2024-08-13,2024-09-27,2025-05-05,1014399.19,1014399.19,True,False,False,2024-25,45,220,292,True
100026,MP_3,District_1,Drinking Water,Standard public infrastructure work,Vendor_16,Government Agency,2024-05-21,2024-06-21,2025-04-14,288957.53,288957.53,False,False,False,2024-25,31,297,376,True
100027,MP_6,District_3,Community Hall,Standard public infrastructure work,Vendor_2,Government Agency,2024-08-25,2024-09-24,2024-12-22,709551.66,709551.66,False,False,False,2024-25,30,89,280,True
